"","Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","imported_sum","tour_popu_2017","tour_popu_2018","cn_tour_dense","tw_exposed"
"1","Aruba","ABW",1070500,1082000,NA,NA,0,7,NA,NA,NA,NA,25630.2664922069,25630.2664922069,585.366666666667,588.027777777778,26179324.48,94017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"2","Afghanistan","AFG",NA,NA,NA,NA,14653,15727,NA,NA,NA,NA,556.302138508508,520.896602719135,55.5959930153479,56.937760009803,532601154,2856326.98,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0,NA,NA,NA,NA
"3","Angola","AGO",261000,218000,27609,20418,15029,12240,2,5,7,0,4095.81294155857,3432.38573600893,23.9165380604797,24.7130520574316,2234432899,19090441798.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42638,32658,1321.48792970228,0.00529705935458452
"4","Albania","ALB",4643000,5340000,10584,17525,3562,3675,49,136,185,1,4532.89016212124,5268.84850355919,104.870693430657,104.612262773723,316015698.96,180094938.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14146,21200,202.653106221932,0.91289002892164
"5","Andorra","AND",3003000,3042000,NA,NA,177,164,NA,NA,NA,NA,39134.3933706717,42029.7627372989,163.831914893617,163.842553191489,1180000,85995,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,0,NA,NA,NA,NA
"6","Arab World","ARB",94181175.8660824,101463695.274466,NA,NA,NA,NA,NA,NA,NA,NA,6279.46742538325,6608.80697772202,36.66980407291,37.3723653654038,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"7","United Arab Emirates","ARE",20394000,21286000,NA,1481040,7782,9610,5163,5423,10586,1,39811.634701763,43004.9533584848,133.584947901999,135.609110109828,28554564532,11525115401.85,0,0,0,0,5,5,5,5,8,9,9,9,27,45,113,0,NA,1490650,10992.2555998837,0.963041652717029
"8","Argentina","ARG",6711000,6942000,59894,71959,35132,34229,51,77,128,0,14591.8633810541,11683.9496216363,16.0941907925267,16.2585100979651,12250348494.06,4363962023.72,0,0,0,0,0,0,0,0,0,0,0,0,1,8,79,0,95026,106188,6531.22576178062,0.0195981588554218
"9","Armenia","ARM",1495000,1652000,5747,9189,6337,8032,NA,NA,NA,NA,3914.5012684128,4212.07094272937,103.435511064278,103.680224798033,449001996.74,131347705.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,84,0,12084,17221,166.097247894149,NA
"10","American Samoa","ASM",20000,20200,254,NA,NA,NA,NA,NA,NA,NA,10823.4448040273,11466.6907058505,278.1,277.325,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"11","Antigua and Barbuda","ATG",247000,269000,739,869,544,814,NA,NA,NA,NA,15383.4151884998,16726.9808079479,216.877272727273,218.831818181818,35693761.42,55630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1283,1683,7.69083771264774,NA
"12","Australia","AUS",8815000,9246000,1356890,1432190,733663,751865,17123,20038,37161,0,54066.4712686117,57373.6866841281,3.19836141871706,3.24912948744283,47646221747.75,84889778354.4,0,0,0,4,12,13,14,15,15,15,15,19,52,63,568,0,2090553,2184055,672196.971047443,0.0552829030783854
"13","Austria","AUT",29460000,30816000,899636,972998,67573,70279,2936,3762,6698,1,47431.630607607,51461.9547804677,106.607445296677,107.206926667578,8269611059.16,4712665734.59,0,0,0,0,0,0,0,0,0,0,0,0,29,79,1646,5,967209,1043277,9731.43277612035,0.688285081353694
"14","Azerbaijan","AZE",2454000,2633000,11231,15719,14349,14166,NA,NA,NA,NA,4147.08971569171,4721.17808673142,119.197205757832,120.265319946776,723518904.78,432722677.56,0,0,0,0,0,0,0,0,0,0,0,0,3,9,28,0,25580,29885,248.492250411222,NA
"15","Burundi","BDI",299000,299000,NA,NA,1996,2388,NA,NA,NA,NA,292.997630684415,271.752044376648,421.61308411215,435.178271028037,110090171.55,7242609.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"16","Belgium","BEL",8385000,9119000,165425,193143,68224,69248,59,54,113,1,44219.5619960117,47518.6360388914,375.66571994716,377.214927344782,NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,23,169,1486,1,233649,262391,695.600786127346,0.162449500135143
"17","Benin","BEN",281000,295000,10320,10233,4405,4503,NA,NA,NA,NA,829.478802783315,901.543871206357,99.1061014544165,101.853919829727,1923612146,87236867.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14725,14736,144.677789766312,NA
"18","Burkina Faso","BFA",143000,144000,1844,2765,6127,7871,13,35,48,0,642.429838650148,715.12290404614,70.1508918128655,72.1912828947368,182386739,19638881.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7971,10636,147.330807453699,0.325797440668237
"19","Bangladesh","BGD",1026000,1026000,NA,NA,91531,101622,211,177,388,0,1563.99408178663,1698.26280233547,1226.63127448721,1239.57931166936,15073183697,860145563.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,NA,NA,NA,NA
"20","Bulgaria","BGR",8883000,9273000,28654,36503,21508,20637,4,12,16,1,8228.0115697265,9272.62930360848,65.1800571112749,64.7035372144436,1271763006.12,940951820.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,50162,57140,883.104733681311,0.01811789631486
"21","Bahrain","BHR",11374000,12045000,NA,NA,3320,2919,10,26,36,0,23715.4827473156,24050.7575053956,1920.40352364259,2017.27369979138,898138384,116839104.49,0,0,0,0,0,0,0,0,0,0,0,0,52,85,256,0,NA,NA,NA,NA
